Last Name,First Name,Rank,adloc,Location,Link to Google Scholar Profile,Citations (All),h-index (All),i10-index (All),Citations,h-index,i10-index,Last Updated
Aburto,Felipe,Associate Professor,Tenure-Track,College Station,https://scholar.google.com/citations?hl=en&user=zxokCVwAAAAJ&view_op=list_works&sortby=pubdate,,,,,,,
Baath,Gurjinder,Assistant Professor,Research,Temple,https://scholar.google.com/citations?user=Q-givk4AAAAJ&hl=en,,,,,,,
Bagavathiannan,Muthu,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=qUomLPAAAAAJ&hl=en&oi=sra,,,,,,,
Baltensperger,David,Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=zGMb2OcAAAAJ&hl=en&oi=ao,,,,,,,
Bednarz,Craig,Professor,Research,Lubbock,https://scholar.google.com/citations?hl=en&user=n4TqYW4AAAAJ&view_op=list_works&sortby=pubdate,,,,,,,
Bell,Jourdan,Associate Professor,Extension,Canyon,https://scholar.google.com/citations?user=7cDhJxoAAAAJ,,,,,,,
Bhandari,Mahendra,Assistant Professor,Research,Corpus Christi,https://scholar.google.com/citations?hl=en&user=pAk1jSAAAAAJ&view_op=list_works&sortby=pubdate,,,,,,,
Boeri,Pablo Agustin,Assistant Professor,Extension,Dallas,https://scholar.google.com/citations?hl=en&user=TmeTV7IAAAAJ,,,,,,,
Brady,Jeff,Assistant Professor,Research,Stephenville,https://scholar.google.com/citations?user=wCX7WSMAAAAJ&hl=en,,,,,,,
Brandani,Carolina,Assistant Professor,Research,Canyon,https://scholar.google.com/citations?hl=en&user=vz9tFy4AAAAJ,,,,,,,
Burke,Joseph,Assistant Professor,Research,Lubbock,https://scholar.google.com/citations?user=b41dGVUAAAAJ&hl=en,,,,,,,
Burow,Mark,Professor,Research,Lubbock,https://scholar.google.com/citations?user=0auA760AAAAJ&hl=en&oi=ao,,,,,,,
Carson,Katherine,Instructional Assistant Professor,APT,College Station,https://scholar.google.com/citations?hl=en&user=aS7n-uIAAAAJ,,,,,,,
Cason,John,Associate Professor,Research,Stephenville,https://scholar.google.com/citations?hl=en&user=uvhrXE4AAAAJ,,,,,,,
Chandra,Ambika,Professor,Research,Dallas,https://scholar.google.com/citations?user=HLJlITsAAAAJ&hl=en&oi=ao,,,,,,,
Chang,Baoxin (Bob),Assistant Professor,Tenure-Track,College Station,https://scholar.google.com/citations?user=pBjLQFUAAAAJ&hl=en,,,,,,,
Chavarria,Manuel,Assistant Professor,Extension,College Station,https://scholar.google.com/citations?hl=&user=VIhfMWYAAAAJ,,,,,,,
